sample_id	sample_name	region	organism	Animal	State	Sex	sacTb	molecule	r1	r2
Forebrain_SA_rep1	Forebrain_SA_rep1	Forebrain	Ictidomys tridecemlineatus	30	SA	F	37	polyA_RNA	B30_2_GCCAAT_L001_R1_001.fastq.gz	B30_2_GCCAAT_L001_R2_001.fastq.gz
Forebrain_SA_rep2	Forebrain_SA_rep2	Forebrain	Ictidomys tridecemlineatus	31	SA	M	37	polyA_RNA	B31_8_AGTTCC_L001_R1_001.fastq.gz	B31_8_AGTTCC_L001_R2_001.fastq.gz
Forebrain_SA_rep3	Forebrain_SA_rep3	Forebrain	Ictidomys tridecemlineatus	32	SA	M	37	polyA_RNA	B32_14_CCGTCC_L002_R1_001.fastq.gz	B32_14_CCGTCC_L002_R2_001.fastq.gz
Forebrain_SA_rep4	Forebrain_SA_rep4	Forebrain	Ictidomys tridecemlineatus	33	SA	M	37	polyA_RNA	B33_20_ATTCCT_L002_R1_001.fastq.gz	B33_20_ATTCCT_L002_R2_001.fastq.gz
Forebrain_SA_rep5	Forebrain_SA_rep5	Forebrain	Ictidomys tridecemlineatus	34	SA	F	37	polyA_RNA	B34_26_GCCAAT_L003_R1_001.fastq.gz	B34_26_GCCAAT_L003_R2_001.fastq.gz
Forebrain_Ar_rep1	Forebrain_Ar_rep1	Forebrain	Ictidomys tridecemlineatus	53	Ar	M	12.8	polyA_RNA	B53_6_GATCAG_L001_R1_001.fastq.gz	B53_6_GATCAG_L001_R2_001.fastq.gz
Forebrain_Ar_rep2	Forebrain_Ar_rep2	Forebrain	Ictidomys tridecemlineatus	54	Ar	F	7.9	polyA_RNA	B54_12_TGACCA_L002_R1_001.fastq.gz	B54_12_TGACCA_L002_R2_001.fastq.gz
Forebrain_Ent_rep1	Forebrain_Ent_rep1	Forebrain	Ictidomys tridecemlineatus	55	Ent	M	27	polyA_RNA	B55_4_GTGAAA_L001_R1_001.fastq.gz	B55_4_GTGAAA_L001_R2_001.fastq.gz
Forebrain_Ar_rep3	Forebrain_Ar_rep3	Forebrain	Ictidomys tridecemlineatus	57	Ar	M	7.9	polyA_RNA	B57_18_GAGTGG_L002_R1_001.fastq.gz	B57_18_GAGTGG_L002_R2_001.fastq.gz
Forebrain_Ar_rep4	Forebrain_Ar_rep4	Forebrain	Ictidomys tridecemlineatus	58	Ar	F	8.3	polyA_RNA	B58_24_GGCTAC_L003_R1_001.fastq.gz	B58_24_GGCTAC_L003_R2_001.fastq.gz
Forebrain_Ent_rep2	Forebrain_Ent_rep2	Forebrain	Ictidomys tridecemlineatus	59	Ent	M	26.6	polyA_RNA	B59_10_GTCCGC_L001_R1_001.fastq.gz	B59_10_GTCCGC_L001_R2_001.fastq.gz
Forebrain_Ar_rep5	Forebrain_Ar_rep5	Forebrain	Ictidomys tridecemlineatus	61	Ar	F	8.2	polyA_RNA	B61_30_GATCAG_L003_R1_001.fastq.gz	B61_30_GATCAG_L003_R2_001.fastq.gz
Forebrain_Ent_rep3	Forebrain_Ent_rep3	Forebrain	Ictidomys tridecemlineatus	62	Ent	M	23.3	polyA_RNA	B62_16_GTTTCG_L002_R1_001.fastq.gz	B62_16_GTTTCG_L002_R2_001.fastq.gz
Forebrain_Ent_rep4	Forebrain_Ent_rep4	Forebrain	Ictidomys tridecemlineatus	64	Ent	F	23	polyA_RNA	B64_22_ACTTGA_L003_R1_001.fastq.gz	B64_22_ACTTGA_L003_R2_001.fastq.gz
Forebrain_LT_rep1	Forebrain_LT_rep1	Forebrain	Ictidomys tridecemlineatus	65	LT	F	5.5	polyA_RNA	B65_5_TTAGGC_L001_R1_001.fastq.gz	B65_5_TTAGGC_L001_R2_001.fastq.gz
Forebrain_Ent_rep5	Forebrain_Ent_rep5	Forebrain	Ictidomys tridecemlineatus	66	Ent	F	27	polyA_RNA	B66_28_GTGAAA_L003_R1_001.fastq.gz	B66_28_GTGAAA_L003_R2_001.fastq.gz
Forebrain_LT_rep2	Forebrain_LT_rep2	Forebrain	Ictidomys tridecemlineatus	67	LT	M	6.6	polyA_RNA	B67_11_CGATGT_L002_R1_001.fastq.gz	B67_11_CGATGT_L002_R2_001.fastq.gz
Forebrain_LT_rep3	Forebrain_LT_rep3	Forebrain	Ictidomys tridecemlineatus	68	LT	M	6.2	polyA_RNA	B68_17_CGTACG_L002_R1_001.fastq.gz	B68_17_CGTACG_L002_R2_001.fastq.gz
